場コード,レース,枠,展示 タイム,チルト,体重,着,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,登録番号,級別,選手名,支部,出身,年齢,体重kg,F数,L数,平均ST
19,7,2,6.71,0.0,52.4kg,2,6.06,46.55,62.93,6.13,50.0,62.5,28,21.21,54.55,16,15.38,20.51,4033,A1,伊藤,将吉  静岡,静岡,47,52.4,0.0,0,0.13
19,7,3,6.81,0.0,53.5kg,4,5.45,38.3,53.19,5.18,36.36,54.55,60,30.3,54.55,52,32.35,35.29,4656,B1,大崎,翔  兵庫,兵庫,39,53.5,0.0,0,0.14
19,7,4,6.7,0.0,53.2kg,3,4.27,19.61,41.18,0.0,0.0,0.0,39,35.48,48.39,21,36.36,48.48,5237,B1,永松,良教  福岡,福岡,26,53.2,0.0,0,0.14
19,7,5,6.75,0.0,54.1kg,5,6.97,55.26,77.63,5.77,35.9,51.28,35,32.26,51.61,41,34.29,65.71,4797,A2,中山,将  三重,三重,34,54.1,0.0,0,0.15
19,7,6,6.76,0.5,55.7kg,6,4.78,29.7,46.53,5.01,33.33,47.31,25,25.58,41.86,28,55.0,75.0,4158,B1,木場,雄二郎  山口,山口,45,55.7,0.0,0,0.17
19,8,1,6.78,-0.5,52.3kg,3,4.4,25.24,40.78,4.26,29.76,41.67,72,8.82,17.65,27,46.88,59.38,4846,B1,佐藤,駿介  山口,山口,32,52.3,0.0,0,0.17
19,8,3,6.69,0.0,51.5kg,5,4.95,25.53,48.94,4.03,19.44,30.56,66,18.75,34.38,54,22.22,36.11,4306,A2,畔柳,俊吾  愛知,愛知,42,51.5,0.0,0,0.17
19,8,4,6.75,0.0,52.6kg,2,4.31,20.99,38.27,2.0,0.0,12.5,14,21.88,50.0,29,27.27,45.45,5262,B1,鈴木,章司  愛知,愛知,28,52.6,1.0,0,0.20
19,8,5,6.74,0.0,51.5kg,4,2.36,6.41,14.1,0.0,0.0,0.0,51,35.14,45.95,40,37.14,54.29,5315,B1,浅井,翼  埼玉,北海道,25,51.5,0.0,0,0.17
19,8,6,6.75,0.0,54.4kg,1,4.43,23.23,40.4,1.89,0.0,0.0,53,27.5,52.5,38,44.74,71.05,5337,B1,出畑,孝成  福岡,福岡,20,54.4,0.0,0,0.18
19,9,1,6.75,-0.5,54.0kg,1,6.67,54.81,66.35,4.64,27.27,27.27,27,45.16,70.97,23,40.0,65.71,4587,A2,木田,峰由季  福井,石川,35,54.0,0.0,0,0.15
19,9,2,6.75,0.0,54.4kg,5,4.89,22.94,43.12,4.2,26.67,26.67,61,30.3,51.52,43,48.48,63.64,4562,B1,阪本,勇介  岡山,岡山,38,54.4,0.0,0,0.18
19,9,3,6.72,0.0,52.6kg,3,4.57,26.8,34.02,0.0,0.0,0.0,30,48.39,74.19,65,54.29,65.71,4380,B1,鈴木,峻佑  静岡,静岡,41,52.6,0.0,0,0.17
19,9,4,6.85,0.0,52.1kg,6,4.0,19.23,34.62,0.0,0.0,0.0,22,34.48,55.17,48,11.43,22.86,4327,B1,加藤,翔  静岡,静岡,43,52.1,0.0,0,0.18
19,9,5,6.79,-0.5,56.7kg,4,5.25,36.61,52.68,4.61,29.41,41.18,64,24.24,36.36,42,25.71,34.29,4173,B1,岡谷,健吾  広島,広島,43,56.7,0.0,0,0.18
19,9,6,6.79,0.0,52.1kg,2,5.96,41.84,57.14,6.86,57.14,57.14,57,42.42,57.58,66,30.77,41.03,4121,A1,富永,修一  福岡,福岡,44,52.1,0.0,0,0.13
19,10,1,6.85,0.0,54.8kg,1,6.77,48.42,72.63,6.29,32.69,67.31,20,31.43,51.43,22,26.47,52.94,4051,A1,清水,敦揮  岡山,岡山,45,54.8,0.0,0,0.17
19,10,2,6.74,0.0,52.6kg,4,6.79,55.37,68.6,5.21,34.04,44.68,63,45.16,64.52,36,37.14,60.0,5158,A2,宮脇,遼太  福岡,福岡,28,52.6,0.0,0,0.17
19,10,3,6.82,-0.5,52.6kg,5,6.03,42.86,63.49,5.5,40.0,60.0,54,40.0,60.0,49,51.52,63.64,5049,A2,松井,友汰  大阪,大阪,31,52.6,1.0,0,0.16
19,10,4,6.82,0.0,52.2kg,2,5.1,32.38,47.62,5.2,26.67,53.33,46,38.24,70.59,25,37.04,48.15,4395,B1,下河,雅史  福岡,福岡,40,52.2,0.0,0,0.18
19,10,5,6.81,0.0,52.0kg,6,7.02,50.0,71.74,6.57,43.48,65.22,65,19.35,35.48,17,38.24,64.71,4296,A1,岡崎,恭裕  福岡,福岡,39,52.0,0.0,0,0.13
