場コード,レース,枠,展示 タイム,チルト,体重,着,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,登録番号,級別,選手名,支部,出身,年齢,体重kg,F数,L数,平均ST,級別_num,is_win,展示順位,全国勝率順位,当地勝率順位,モーター順位,ボート順位,平均ST順位,展示平均との差,全国勝率平均との差,当地勝率平均との差,モーター平均との差,ボート平均との差,インコース,F持ち,軽量,展示1位,モーター上位,全国勝率上位,PAMU指数,PAMU指数V2,PAMU順位,AI_1着確率,AI_1着確率%,AI確率,AI確率%
6,5,6,6.71,0.0,52.7kg,5,6.8,54.11,67.81,5.85,40.19,58.88,31,25.0,39.58,44,38.92,50.3,5034,A1,若林,義人  静岡,静岡,28,52.7,0.0,0.0,0.14,4,0,4.0,1.0,1.0,5.0,2.0,1.0,0.0250000000000003,1.9533333333333327,1.4783333333333326,-10.048333333333332,2.440000000000005,0,0,0,0,0,1,122.0,127.6,2.0,0.042,4.2,0.04356846473029046,4.4
6,6,1,6.68,-0.5,52.0kg,1,7.16,53.38,76.69,6.52,38.1,66.67,38,38.0,52.0,26,25.83,41.72,4295,A1,小坂,尚哉  兵庫,大阪,39,52.0,0.0,0.0,0.15,4,1,3.0,1.0,2.0,2.0,5.0,1.0,0.0149999999999996,2.0533333333333337,1.1533333333333324,1.9883333333333368,-3.245000000000001,1,0,1,0,1,1,191.0,138.4,1.0,0.816,81.6,0.7937743190661478,79.4
6,6,2,6.53,2.5,52.4kg,3,5.17,32.61,55.43,6.8,60.0,70.0,19,32.0,42.0,76,37.72,50.3,4880,B1,澤崎,雄哉  東京,東京,31,52.4,0.0,0.0,0.17,2,0,1.0,2.0,1.0,5.0,1.0,3.0,-0.1349999999999998,0.0633333333333334,1.433333333333333,-4.011666666666663,8.645,0,0,0,1,0,1,174.0,129.0,2.0,0.084,8.4,0.08171206225680934,8.2
6,6,3,6.65,-0.5,51.0kg,2,4.87,26.96,44.35,4.97,22.86,48.57,49,37.5,47.92,40,27.39,42.04,4811,B1,向井田,佑紀  広島,広島,37,51.0,0.0,0.0,0.16,2,0,2.0,4.0,4.0,3.0,4.0,2.0,-0.0149999999999996,-0.2366666666666663,-0.3966666666666674,1.4883333333333368,-1.6849999999999987,0,0,1,0,0,0,145.0,92.9,4.0,0.028,2.8,0.027237354085603113,2.7
6,6,4,6.69,-0.5,54.6kg,4,4.36,22.11,37.89,4.82,25.76,48.48,62,48.15,57.41,63,34.71,56.47,3718,B1,伊達,正利  静岡,静岡,51,54.6,0.0,0.0,0.17,2,0,4.0,5.0,5.0,1.0,2.0,3.0,0.0250000000000003,-0.7466666666666661,-0.5466666666666669,12.138333333333335,5.635000000000002,0,0,0,0,1,0,116.0,86.9,5.0,0.04,4.0,0.038910505836575876,3.9
6,6,5,6.73,-0.5,57.6kg,6,5.17,30.97,53.98,5.13,39.13,43.48,57,22.92,35.42,51,28.65,42.69,5082,B1,一色,凌雅  愛知,愛知,27,57.6,0.0,0.0,0.2,2,0,6.0,2.0,3.0,6.0,3.0,5.0,0.0650000000000003,0.0633333333333334,-0.2366666666666672,-13.09166666666666,-0.4250000000000007,0,0,0,0,0,1,85.0,95.80000000000001,3.0,0.038,3.8,0.03696498054474708,3.7
6,6,6,6.71,0.0,51.5kg,5,3.91,24.14,35.34,3.96,20.83,33.33,40,37.5,48.21,36,20.15,41.79,4035,B1,杉江,浩明  愛知,愛知,47,51.5,0.0,0.0,0.2,2,0,5.0,6.0,6.0,3.0,6.0,5.0,0.0449999999999999,-1.1966666666666663,-1.4066666666666672,1.4883333333333368,-8.925,0,0,1,0,0,0,62.0,63.39999999999999,6.0,0.022,2.2,0.02140077821011673,2.1
6,7,1,6.71,-0.5,52.0kg,1,4.89,26.85,42.59,5.22,28.05,45.12,22,48.0,72.0,16,28.48,43.67,3990,B1,芹澤,克彦  静岡,静岡,47,52.0,0.0,0.0,0.15,2,1,3.0,3.0,2.0,1.0,5.0,1.0,-0.0216666666666665,-0.0516666666666667,0.0216666666666665,14.376666666666663,-4.516666666666669,1,0,1,0,1,0,184.0,122.5,2.0,0.8,80.0,0.8298755186721991,83.0
6,7,2,6.76,-0.5,53.1kg,2,5.03,30.77,51.92,5.0,26.92,50.0,30,23.53,43.14,64,32.75,49.12,4100,B1,松田,隆司  福岡,福岡,47,53.1,0.0,0.0,0.17,2,0,4.0,2.0,3.0,5.0,4.0,4.0,0.0283333333333333,0.0883333333333338,-0.1983333333333332,-10.093333333333334,-0.2466666666666697,0,0,0,0,0,1,139.0,93.10000000000001,3.0,0.06,6.0,0.06224066390041493,6.2
6,7,3,6.69,-0.5,52.0kg,3,4.47,22.12,42.31,4.33,27.78,38.89,64,24.49,44.9,57,37.65,50.0,4251,B1,川崎,誠志  山口,山口,43,52.0,0.0,0.0,0.2,2,0,2.0,4.0,5.0,4.0,2.0,6.0,-0.041666666666666,-0.4716666666666667,-0.8683333333333332,-9.133333333333336,4.653333333333329,0,0,1,0,0,0,124.0,77.10000000000001,6.0,0.026,2.6,0.02697095435684647,2.7
